STN,MMDDYY,EVAP
286,08/01/14,4.1
,08/02/14,4.1
,08/03/14,4.1
,08/04/14,3.4
,08/05/14,3.7
,08/06/14,3.4
,08/07/14,2.5
,08/08/14,3.2
,08/09/14,3.2
,08/10/14,2.2
,08/11/14,3.3
,08/12/14,2.9
,08/13/14,3
,08/14/14,2.3
,08/15/14,2.6
,08/16/14,2
,08/17/14,0.8
,08/18/14,1.7
,08/19/14,1.9
,08/20/14,2.3
,08/21/14,2.5
,08/22/14,1.7
,08/23/14,2.7
,08/24/14,2.3
,08/25/14,2.4
,08/26/14,3.4
,08/27/14,3.4
,08/28/14,3
,08/29/14,2.5
,08/30/14,1.6
,08/31/14,2.3
,09/01/14,1.5
,09/02/14,2
,09/03/14,3
,09/04/14,3.1
,09/05/14,2.8
,09/06/14,1.6
,09/07/14,2.1
,09/08/14,2.7
,09/09/14,1.2
,09/10/14,0.8
,09/11/14,2.5
,09/12/14,2.7
,09/13/14,2.4
,09/14/14,1.6
,09/15/14,1.2
,09/16/14,2.6
,09/17/14,2.8
,09/18/14,2.8
,09/19/14,2.7
,09/20/14,1.8
,09/21/14,1.9
,09/22/14,2
,09/23/14,1.4
,09/24/14,0.7
,09/25/14,0.9
,09/26/14,0.7
,09/27/14,2.1
,09/28/14,1.7
,09/29/14,1.4
,09/30/14,1.3
,10/01/14,1.7
,10/02/14,0.8
,10/03/14,1.4
,10/04/14,2
,10/05/14,0.2
,10/06/14,1.3
,10/07/14,0.9
,10/08/14,0.7
,10/09/14,1.3
,10/10/14,1.4
,10/11/14,0.9
,10/12/14,1
,10/13/14,0.8
,10/14/14,0.7
,10/15/14,0.5
,10/16/14,0.5
,10/17/14,0.6
,10/18/14,1
,10/19/14,1.1
,10/20/14,1.1
,10/21/14,0.2
,10/22/14,0.2
,10/23/14,0.3
,10/24/14,0.5
,10/25/14,0.7
,10/26/14,0.7
,10/27/14,0.9
,10/28/14,1.2
,10/29/14,0.2
,10/30/14,0.4
,10/31/14,0.6
,11/01/14,1.1
,11/02/14,1.1
,11/03/14,0.5
,11/04/14,0.5
,11/05/14,0.5
,11/06/14,0.4
,11/07/14,0.5
,11/08/14,0.8
,11/09/14,0.7
,11/10/14,0.5
,11/11/14,0.7
,11/12/14,0.5
,11/13/14,0.4
,11/14/14,0.2
,11/15/14,0.2
,11/16/14,0.1
,11/17/14,0.6
,11/18/14,0.2
,11/19/14,0.4
,11/20/14,0.5
,11/21/14,0.5
,11/22/14,0.3
,11/23/14,0.5
,11/24/14,0.6
,11/25/14,0.4
,11/26/14,0.3
,11/27/14,0.2
,11/28/14,0.2
,11/29/14,0.1
,11/30/14,0.1
,12/01/14,0.1
,12/02/14,0.2
,12/03/14,0.1
,12/04/14,0.1
,12/05/14,0.2
,12/06/14,0.3
,12/07/14,0.1
,12/08/14,0.3
,12/09/14,0.1
,12/10/14,0.3
,12/11/14,0.2
,12/12/14,0.1
,12/13/14,0.2
,12/14/14,0.3
,12/15/14,0.2
,12/16/14,0.2
,12/17/14,0.1
,12/18/14,0.1
,12/19/14,0.2
,12/20/14,0.2
,12/21/14,0.1
,12/22/14,0.1
,12/23/14,0.1
,12/24/14,0.3
,12/25/14,0.3
,12/26/14,0.2
,12/27/14,0.2
,12/28/14,0.4
,12/29/14,0.3
,12/30/14,0.1
,12/31/14,0.2
,01/01/2015,0.2
,01/02/2015,0.4
,01/03/2015,0.2
,01/04/2015,0.4
,01/05/2015,0.1
,01/06/2015,0.2
,01/07/2015,0.4
,01/08/2015,0
,01/09/2015,0.1
,01/10/2015,0.1
,01/11/2015,0.3
,01/12/2015,0.1
,01/13/2015,0.1
,01/14/2015,0.1
,01/15/2015,0.1
,01/16/2015,0.5
,01/17/2015,0.5
,01/18/2015,0.1
,01/19/2015,0.1
,01/20/2015,0.3
,01/21/2015,0.3
,01/22/2015,0.4
,01/23/2015,0.1
,01/24/2015,0.4
,01/25/2015,0.4
,01/26/2015,0.1
,01/27/2015,0.4
,01/28/2015,0.1
,01/29/2015,0.3
,01/30/2015,0.7
,01/31/2015,0.7
,02/01/2015,0.2
,02/02/2015,0.6
,02/03/2015,0.6
,02/04/2015,0.7
,02/05/2015,0.4
,02/06/2015,0.9
,02/07/2015,0.3
,02/08/2015,0.4
,02/09/2015,0.3
,02/10/2015,0.3
,02/11/2015,0.2
,02/12/2015,0.1
,02/13/2015,0.9
,02/14/2015,1
,02/15/2015,0.6
,02/16/2015,0.9
,02/17/2015,0.3
,02/18/2015,1
,02/19/2015,1.1
,02/20/2015,0.2
,02/21/2015,0.7
,02/22/2015,1.1
,02/23/2015,0.7
,02/24/2015,0.7
,02/25/2015,0.5
,02/26/2015,0.9
,02/27/2015,1.1
,02/28/2015,1.2
,03/01/2015,0.8
,03/02/2015,0.9
,03/03/2015,0.6
,03/04/2015,1
,03/05/2015,0.9
,03/06/2015,0.6
,03/07/2015,1.3
,03/08/2015,1.9
,03/09/2015,1.6
,03/10/2015,1.4
,03/11/2015,1.6
,03/12/2015,1.5
,03/13/2015,1.6
,03/14/2015,0.4
,03/15/2015,0.5
,03/16/2015,1.6
,03/17/2015,1.6
,03/18/2015,1.8
,03/19/2015,1.7
,03/20/2015,0.5
,03/21/2015,1
,03/22/2015,1.9
,03/23/2015,1.7
,03/24/2015,1.9
,03/25/2015,0.6
,03/26/2015,1.1
,03/27/2015,0.5
,03/28/2015,1.2
,03/29/2015,0.6
,03/30/2015,1.9
,03/31/2015,0.8
,04/01/2015,1.4
,04/02/2015,2
,04/03/2015,1.8
,04/04/2015,1.8
,04/05/2015,2.6
,04/06/2015,1.9
,04/07/2015,1.4
,04/08/2015,1.4
,04/09/2015,2.1
,04/10/2015,1.8
,04/11/2015,1.4
,04/12/2015,2.7
,04/13/2015,2.4
,04/14/2015,2.6
