STN,YYYYMMDD,   RD,   SX
172,19920501,57,0
172,19920502,114,0
172,19920503,11,0
172,19920504,1,0
172,19920505,0,0
172,19920506,0,0
172,19920507,0,0
172,19920508,11,0
172,19920509,19,0
172,19920510,245,0
172,19920511,31,0
172,19920512,2,0
172,19920513,8,0
172,19920514,0,0
172,19920515,0,0
172,19920516,0,0
172,19920517,0,0
172,19920518,0,0
172,19920519,0,0
172,19920520,0,0
172,19920521,0,0
172,19920522,0,0
172,19920523,0,0
172,19920524,0,0
172,19920525,0,0
172,19920526,0,0
172,19920527,0,0
172,19920528,0,0
172,19920529,0,0
172,19920530,65,0
172,19920531,0,0
172,19920601,0,0
172,19920602,0,0
172,19920603,46,0
172,19920604,14,0
172,19920605,195,0
172,19920606,0,0
172,19920607,10,0
172,19920608,312,0
172,19920609,11,0
172,19920610,30,0
172,19920611,0,0
172,19920612,9,0
172,19920613,0,0
172,19920614,0,0
172,19920615,0,0
172,19920616,0,0
172,19920617,0,0
172,19920618,0,0
172,19920619,13,0
172,19920620,0,0
172,19920621,0,0
172,19920622,0,0
172,19920623,0,0
172,19920624,0,0
172,19920625,0,0
172,19920626,0,0
172,19920627,0,0
172,19920628,0,0
172,19920629,0,0
172,19920630,0,0
172,19920701,52,0
172,19920702,5,0
172,19920703,0,0
172,19920704,6,0
172,19920705,6,0
172,19920706,0,0
172,19920707,0,0
172,19920708,0,0
172,19920709,0,0
172,19920710,0,0
172,19920711,1,0
172,19920712,0,0
172,19920713,92,0
172,19920714,165,0
172,19920715,0,0
172,19920716,0,0
172,19920717,2,0
172,19920718,55,0
172,19920719,0,0
172,19920720,0,0
172,19920721,0,0
172,19920722,13,0
172,19920723,0,0
172,19920724,0,0
172,19920725,160,0
172,19920726,0,0
172,19920727,31,0
172,19920728,8,0
172,19920729,0,0
172,19920730,0,0
172,19920731,0,0
172,19920801,0,0
172,19920802,15,0
172,19920803,0,0
172,19920804,7,0
172,19920805,0,0
172,19920806,0,0
172,19920807,0,0
172,19920808,0,0
172,19920809,0,0
172,19920810,33,0
172,19920811,30,0
172,19920812,10,0
172,19920813,50,0
172,19920814,22,0
172,19920815,37,0
172,19920816,0,0
172,19920817,27,0
172,19920818,0,0
172,19920819,0,0
172,19920820,0,0
172,19920821,47,0
172,19920822,0,0
172,19920823,26,0
172,19920824,3,0
172,19920825,56,0
172,19920826,0,0
172,19920827,10,0
172,19920828,8,0
172,19920829,61,0
172,19920830,96,0
172,19920831,35,0
172,19920901,118,0
172,19920902,15,0
172,19920903,60,0
172,19920904,31,0
172,19920905,195,0
172,19920906,5,0
172,19920907,0,0
172,19920908,3,0
172,19920909,0,0
172,19920910,0,0
172,19920911,0,0
172,19920912,34,0
172,19920913,0,0
172,19920914,21,0
172,19920915,0,0
172,19920916,0,0
172,19920917,0,0
172,19920918,0,0
172,19920919,173,0
172,19920920,55,0
172,19920921,0,0
172,19920922,0,0
172,19920923,0,0
172,19920924,0,0
172,19920925,0,0
172,19920926,0,0
172,19920927,0,0
172,19920928,0,0
172,19920929,0,0
172,19920930,0,0
172,19921001,6,0
172,19921002,42,0
172,19921003,0,0
172,19921004,0,0
172,19921005,0,0
172,19921006,7,0
172,19921007,75,0
172,19921008,0,0
172,19921009,13,0
172,19921010,0,0
172,19921011,0,0
172,19921012,0,0
172,19921013,0,0
172,19921014,0,0
172,19921015,105,0
172,19921016,31,0
172,19921017,0,0
